1647	222
1648	71
1649	7
1650	6
1651	16
1652	8
1653	4
1654	2
1655	3
1656	3
1657	3
1659	8
1660	6
1661	2
1662	3
1663	2
1664	1
1665	6
1666	9
1667	8
1668	8
1669	7
1670	18
1671	9
1672	10
1673	14
1674	8
1675	7
1676	12
1677	1
1678	4
1679	4
1681	3
1682	9
1683	8
1684	13
1685	19
1686	14
1687	2
1688	2
1690	1
1691	4
1692	49
1693	16
1694	4
1695	7
1696	4
1697	17
1698	12
1699	9
1700	9
1701	9
1702	5
1703	4
1704	9
1705	8
1706	9
1707	4
1708	3
1709	103
1710	157
1711	294
1712	323
1713	12
1714	56
1715	6
1716	48
1717	4
1718	4
1719	1
1720	3
1721	3
1722	3
1723	5
1724	8
1725	4
1726	5
1727	606
1728	14
1729	10
1730	10
1731	5
1732	11
1733	11
1734	3
1735	12
1736	2
1737	5
1738	12
1739	7
1740	14
1741	10
1742	16
1743	7
1744	49
1745	8
1746	9
1747	11
1748	54
1749	11
1750	29
1751	39
1752	84
1753	50
1754	12
1755	4
1756	1
1757	4
1758	3
1759	17
1760	3
1761	9
1762	18
1763	25
1764	15
1765	31
1766	5
1767	19
1768	14
1769	59
1770	8
1771	15
1772	9
1773	18
1774	11
1775	9
1776	6
1777	18
1778	23
1779	15
1780	5
1781	5
1782	6
1783	6
1784	99
1785	13
1786	41
1787	49
1788	50
1789	28
1790	33
1791	82
1792	46
1793	10
1794	32
1795	19
1796	29
1797	13
1798	34
1799	45
1800	214
1801	139
1802	82
1803	100
1804	161
1805	80
1806	142
1807	78
1808	83
1809	70
1810	91
1811	126
1812	132
1813	91
1814	86
1815	121
1816	141
1817	109
1818	117
1819	91
1820	134
1821	126
1822	109
1823	363
1824	336
1825	154
1826	166
1827	257
1828	244
1829	185
1830	219
1831	160
1832	146
1833	134
1834	233
1835	236
1836	158
1837	174
1838	196
1839	257
1840	254
1841	338
1842	396
1843	384
1844	388
1845	314
1846	417
1847	701
1848	549
1849	722
1850	828
1851	867
1852	936
1853	1018
1854	946
1855	860
1856	990
1857	1002
1858	948
1859	1119
1860	941
1861	1275
1862	1453
1863	1359
1864	1070
1865	945
1866	935
1867	1049
1868	926
1869	828
1870	1167
1871	791
1872	1107
1873	1223
1874	1226
1875	1159
1876	1476
1877	1331
1878	1310
1879	1449
1880	1612
1881	1455
1882	1435
1883	1518
1884	1445
1885	1523
1886	1783
1887	1893
1888	1961
1889	1960
1890	2068
1891	2082
1892	1979
1893	2274
1894	2212
1895	2196
1896	2491
1897	2510
1898	2397
1899	2774
1900	3224
1901	3070
1902	3017
1903	3004
1904	3083
1905	3358
1906	3113
1907	3293
1908	3291
1909	3456
1910	3958
1911	3828
1912	4015
1913	3999
1914	3702
1915	3468
1916	3379
1917	3174
1918	3091
1919	3240
1920	3877
1921	4158
1922	4133
1923	4503
1924	4674
1925	5014
1926	5221
1927	5380
1928	5576
1929	5690
1930	6129
1931	5985
1932	6064
1933	5998
1934	6098
1935	6371
1936	6290
1937	6055
1938	6725
1939	6447
1940	5917
1941	5466
1942	5824
1943	5482
1944	5279
1945	5372
1946	6322
1947	6814
1948	7027
1949	6975
1950	8364
1951	9331
1952	8661
1953	8975
1954	9760
1955	9804
1956	9455
1957	10404
1958	10981
1959	11188
1960	12108
1961	12505
1962	13534
1963	14195
1964	15858
1965	15893
1966	16486
1967	17654
1968	18854
1969	20311
1970	25096
1971	22015
1972	23561
1973	25015
1974	27429
1975	29303
1976	31132
1977	31539
1978	33863
1979	34270
1980	36308
1981	36759
1982	36683
1983	39127
1984	41617
1985	42832
1986	45819
1987	49470
1988	51130
1989	54672
1990	57207
1991	58952
1992	62605
1993	66047
1994	69185
1995	73987
1996	77792
1997	80159
1998	83925
1999	87346
2000	108680
2001	108776
2002	123674
2003	140312
2004	151725
2005	161696
2006	174679
2007	199763
2008	211164
2009	231722
2010	248790
2011	265824
2012	285783
2013	300843
2014	307357
2015	314958
2016	358265
2017	338442
2018	337721
2019	326523
2020	353057
2021	314006
2022	279702
2023	356523
2024	319078
2025	312644
